"cat01_code","平成29水稲被害面積被害量","cat02_code","平成29水稲被害率被害量","area_code","全国、都府県、全国農業地域","time_code","時間軸（年次）","unit","value"
"100","気象被害_冷害","130","被害率_対前年差","15000","新潟県","2017000000","2017年","ﾎﾟｲﾝﾄ","0.0"
"100","気象被害_冷害","130","被害率_対前年差","16000","富山県","2017000000","2017年","ﾎﾟｲﾝﾄ","－"
"100","気象被害_冷害","130","被害率_対前年差","17000","石川県","2017000000","2017年","ﾎﾟｲﾝﾄ","－"
"100","気象被害_冷害","130","被害率_対前年差","18000","福井県","2017000000","2017年","ﾎﾟｲﾝﾄ","－"
"100","気象被害_冷害","130","被害率_対前年差","19000","山梨県","2017000000","2017年","ﾎﾟｲﾝﾄ","0.2"
"100","気象被害_冷害","130","被害率_対前年差","20000","長野県","2017000000","2017年","ﾎﾟｲﾝﾄ","0.2"
"100","気象被害_冷害","130","被害率_対前年差","21000","岐阜県","2017000000","2017年","ﾎﾟｲﾝﾄ","－"
"100","気象被害_冷害","130","被害率_対前年差","22000","静岡県","2017000000","2017年","ﾎﾟｲﾝﾄ","－"
"100","気象被害_冷害","130","被害率_対前年差","23000","愛知県","2017000000","2017年","ﾎﾟｲﾝﾄ","－"
"100","気象被害_冷害","130","被害率_対前年差","24000","三重県","2017000000","2017年","ﾎﾟｲﾝﾄ","－"
"100","気象被害_冷害","130","被害率_対前年差","25000","滋賀県","2017000000","2017年","ﾎﾟｲﾝﾄ","－"
"100","気象被害_冷害","130","被害率_対前年差","26000","京都府","2017000000","2017年","ﾎﾟｲﾝﾄ","－"
"100","気象被害_冷害","130","被害率_対前年差","27000","大阪府","2017000000","2017年","ﾎﾟｲﾝﾄ","－"
"100","気象被害_冷害","130","被害率_対前年差","28000","兵庫県","2017000000","2017年","ﾎﾟｲﾝﾄ","－"
"100","気象被害_冷害","130","被害率_対前年差","29000","奈良県","2017000000","2017年","ﾎﾟｲﾝﾄ","0.0"
"100","気象被害_冷害","130","被害率_対前年差","30000","和歌山県","2017000000","2017年","ﾎﾟｲﾝﾄ","－"
"100","気象被害_冷害","130","被害率_対前年差","31000","鳥取県","2017000000","2017年","ﾎﾟｲﾝﾄ","－"
"100","気象被害_冷害","130","被害率_対前年差","32000","島根県","2017000000","2017年","ﾎﾟｲﾝﾄ","－"
"100","気象被害_冷害","130","被害率_対前年差","33000","岡山県","2017000000","2017年","ﾎﾟｲﾝﾄ","－"
"100","気象被害_冷害","130","被害率_対前年差","34000","広島県","2017000000","2017年","ﾎﾟｲﾝﾄ","－"
"100","気象被害_冷害","130","被害率_対前年差","35000","山口県","2017000000","2017年","ﾎﾟｲﾝﾄ","－"
"100","気象被害_冷害","130","被害率_対前年差","36000","徳島県","2017000000","2017年","ﾎﾟｲﾝﾄ","－"
"100","気象被害_冷害","130","被害率_対前年差","37000","香川県","2017000000","2017年","ﾎﾟｲﾝﾄ","－"
"100","気象被害_冷害","130","被害率_対前年差","38000","愛媛県","2017000000","2017年","ﾎﾟｲﾝﾄ","－"
"100","気象被害_冷害","130","被害率_対前年差","39000","高知県","2017000000","2017年","ﾎﾟｲﾝﾄ","－"
"100","気象被害_冷害","130","被害率_対前年差","40000","福岡県","2017000000","2017年","ﾎﾟｲﾝﾄ","－"
"100","気象被害_冷害","130","被害率_対前年差","41000","佐賀県","2017000000","2017年","ﾎﾟｲﾝﾄ","－"
"100","気象被害_冷害","130","被害率_対前年差","42000","長崎県","2017000000","2017年","ﾎﾟｲﾝﾄ","－"
"100","気象被害_冷害","130","被害率_対前年差","43000","熊本県","2017000000","2017年","ﾎﾟｲﾝﾄ","－"
"100","気象被害_冷害","130","被害率_対前年差","44000","大分県","2017000000","2017年","ﾎﾟｲﾝﾄ","－"
"100","気象被害_冷害","130","被害率_対前年差","45000","宮崎県","2017000000","2017年","ﾎﾟｲﾝﾄ","－"
"100","気象被害_冷害","130","被害率_対前年差","46000","鹿児島県","2017000000","2017年","ﾎﾟｲﾝﾄ","－"
"100","気象被害_冷害","130","被害率_対前年差","47000","沖縄県","2017000000","2017年","ﾎﾟｲﾝﾄ","－"
"100","気象被害_冷害","130","被害率_対前年差","N0001","関東農政局","2017000000","2017年","ﾎﾟｲﾝﾄ","0.4"
"100","気象被害_冷害","130","被害率_対前年差","N0002","東海農政局","2017000000","2017年","ﾎﾟｲﾝﾄ","－"
"100","気象被害_冷害","130","被害率_対前年差","N0003","中国四国農政局","2017000000","2017年","ﾎﾟｲﾝﾄ","－"
"110","気象被害_日照不足","100","被害面積","00000","全国","2017000000","2017年","ha","1070000"
"110","気象被害_日照不足","100","被害面積","00042","北海道","2017000000","2017年","ha","77300"
"110","気象被害_日照不足","100","被害面積","N0010","都府県","2017000000","2017年","ha","993100"
"110","気象被害_日照不足","100","被害面積","00043","東北","2017000000","2017年","ha","361100"
"110","気象被害_日照不足","100","被害面積","00049","北陸","2017000000","2017年","ha","179200"
"110","気象被害_日照不足","100","被害面積","N0004","関東・東山","2017000000","2017年","ha","180200"
"110","気象被害_日照不足","100","被害面積","00050","東海","2017000000","2017年","ha","54900"
"110","気象被害_日照不足","100","被害面積","00051","近畿","2017000000","2017年","ha","38700"
"110","気象被害_日照不足","100","被害面積","00053","中国","2017000000","2017年","ha","33000"
"110","気象被害_日照不足","100","被害面積","00054","四国","2017000000","2017年","ha","42700"
"110","気象被害_日照不足","100","被害面積","00056","九州","2017000000","2017年","ha","103300"
"110","気象被害_日照不足","100","被害面積","00057","沖縄","2017000000","2017年","ha","65"
"110","気象被害_日照不足","100","被害面積","01000","北海道","2017000000","2017年","ha","77300"
"110","気象被害_日照不足","100","被害面積","02000","青森県","2017000000","2017年","ha","29600"
"110","気象被害_日照不足","100","被害面積","03000","岩手県","2017000000","2017年","ha","49800"
"110","気象被害_日照不足","100","被害面積","04000","宮城県","2017000000","2017年","ha","66300"
"110","気象被害_日照不足","100","被害面積","05000","秋田県","2017000000","2017年","ha","86900"
"110","気象被害_日照不足","100","被害面積","06000","山形県","2017000000","2017年","ha","64500"
"110","気象被害_日照不足","100","被害面積","07000","福島県","2017000000","2017年","ha","64000"
"110","気象被害_日照不足","100","被害面積","08000","茨城県","2017000000","2017年","ha","29800"
"110","気象被害_日照不足","100","被害面積","09000","栃木県","2017000000","2017年","ha","57600"
"110","気象被害_日照不足","100","被害面積","10000","群馬県","2017000000","2017年","ha","11900"
"110","気象被害_日照不足","100","被害面積","11000","埼玉県","2017000000","2017年","ha","21000"
"110","気象被害_日照不足","100","被害面積","12000","千葉県","2017000000","2017年","ha","19400"
"110","気象被害_日照不足","100","被害面積","13000","東京都","2017000000","2017年","ha","113"
"110","気象被害_日照不足","100","被害面積","14000","神奈川県","2017000000","2017年","ha","3090"
"110","気象被害_日照不足","100","被害面積","15000","新潟県","2017000000","2017年","ha","116300"
"110","気象被害_日照不足","100","被害面積","16000","富山県","2017000000","2017年","ha","37600"
"110","気象被害_日照不足","100","被害面積","17000","石川県","2017000000","2017年","ha","25300"
"110","気象被害_日照不足","100","被害面積","18000","福井県","2017000000","2017年","ha","－"
"110","気象被害_日照不足","100","被害面積","19000","山梨県","2017000000","2017年","ha","4960"
"110","気象被害_日照不足","100","被害面積","20000","長野県","2017000000","2017年","ha","32300"
"110","気象被害_日照不足","100","被害面積","21000","岐阜県","2017000000","2017年","ha","11200"
"110","気象被害_日照不足","100","被害面積","22000","静岡県","2017000000","2017年","ha","4500"
"110","気象被害_日照不足","100","被害面積","23000","愛知県","2017000000","2017年","ha","13600"
"110","気象被害_日照不足","100","被害面積","24000","三重県","2017000000","2017年","ha","25600"
"110","気象被害_日照不足","100","被害面積","25000","滋賀県","2017000000","2017年","ha","11800"
"110","気象被害_日照不足","100","被害面積","26000","京都府","2017000000","2017年","ha","4410"
"110","気象被害_日照不足","100","被害面積","27000","大阪府","2017000000","2017年","ha","3600"
