"cat01_code","(F002-22-009)被害項目","area_code","(F002-22-1)全国農業地域・都道府県","unit","value"
"004","合計_被害面積率","38000","愛媛県","%","260.1"
"004","合計_被害面積率","39000","高知県","%","358.8"
"004","合計_被害面積率","40000","福岡県","%","347.5"
"004","合計_被害面積率","41000","佐賀県","%","337.4"
"004","合計_被害面積率","42000","長崎県","%","331.4"
"004","合計_被害面積率","43000","熊本県","%","237.0"
"004","合計_被害面積率","44000","大分県","%","329.1"
"004","合計_被害面積率","45000","宮崎県","%","341.3"
"004","合計_被害面積率","46000","鹿児島県","%","581.0"
"004","合計_被害面積率","47000","沖縄県","%","37.3"
"004","合計_被害面積率","N0013","関東農政局","%","268.8"
"004","合計_被害面積率","N0014","東海農政局","%","291.1"
"004","合計_被害面積率","N0015","中国四国農政局","%","291.7"
"005","合計_被害実面積率","N0001","全国","%","96.2"
"005","合計_被害実面積率","N0002","北海道","%","100.0"
"005","合計_被害実面積率","N0003","都府県","%","96.0"
"005","合計_被害実面積率","N0004","東北","%","99.0"
"005","合計_被害実面積率","N0005","北陸","%","100.0"
"005","合計_被害実面積率","N0006","関東・東山","%","89.4"
"005","合計_被害実面積率","N0007","東海","%","96.4"
"005","合計_被害実面積率","N0008","近畿","%","93.8"
"005","合計_被害実面積率","N0009","中国","%","93.1"
"005","合計_被害実面積率","N0010","四国","%","95.1"
"005","合計_被害実面積率","N0011","九州","%","98.5"
"005","合計_被害実面積率","N0012","沖縄","%","26.5"
"005","合計_被害実面積率","01000","北海道","%","100.0"
"005","合計_被害実面積率","02000","青森県","%","92.1"
"005","合計_被害実面積率","03000","岩手県","%","100.0"
"005","合計_被害実面積率","04000","宮城県","%","100.0"
"005","合計_被害実面積率","05000","秋田県","%","100.0"
"005","合計_被害実面積率","06000","山形県","%","99.9"
"005","合計_被害実面積率","07000","福島県","%","100.0"
"005","合計_被害実面積率","08000","茨城県","%","85.8"
"005","合計_被害実面積率","09000","栃木県","%","90.8"
"005","合計_被害実面積率","10000","群馬県","%","97.2"
"005","合計_被害実面積率","11000","埼玉県","%","100.0"
"005","合計_被害実面積率","12000","千葉県","%","79.2"
"005","合計_被害実面積率","13000","東京都","%","100.0"
"005","合計_被害実面積率","14000","神奈川県","%","91.3"
"005","合計_被害実面積率","15000","新潟県","%","100.0"
"005","合計_被害実面積率","16000","富山県","%","100.0"
"005","合計_被害実面積率","17000","石川県","%","100.0"
"005","合計_被害実面積率","18000","福井県","%","100.0"
"005","合計_被害実面積率","19000","山梨県","%","76.6"
"005","合計_被害実面積率","20000","長野県","%","100.0"
"005","合計_被害実面積率","21000","岐阜県","%","88.0"
"005","合計_被害実面積率","22000","静岡県","%","96.6"
