"cat01_code","(F002-30-1-011)被害項目","cat02_code","(F002-30-1-012)被害量","cat03_code","(F002-30-2-006)全国農業地域別・都道府県","unit","value"
"001","被害面積","003","気象被害_高温障害","023","(都道府県)_埼玉","ha","10000"
"001","被害面積","003","気象被害_高温障害","024","(都道府県)_千葉","ha","18000"
"001","被害面積","003","気象被害_高温障害","025","(都道府県)_東京","ha","－"
"001","被害面積","003","気象被害_高温障害","026","(都道府県)_神奈川","ha","－"
"001","被害面積","003","気象被害_高温障害","027","(都道府県)_新潟","ha","118200"
"001","被害面積","003","気象被害_高温障害","028","(都道府県)_富山","ha","37300"
"001","被害面積","003","気象被害_高温障害","029","(都道府県)_石川","ha","25100"
"001","被害面積","003","気象被害_高温障害","030","(都道府県)_福井","ha","25000"
"001","被害面積","003","気象被害_高温障害","031","(都道府県)_山梨","ha","2400"
"001","被害面積","003","気象被害_高温障害","032","(都道府県)_長野","ha","12200"
"001","被害面積","003","気象被害_高温障害","033","(都道府県)_岐阜","ha","3970"
"001","被害面積","003","気象被害_高温障害","034","(都道府県)_静岡","ha","3850"
"001","被害面積","003","気象被害_高温障害","035","(都道府県)_愛知","ha","11200"
"001","被害面積","003","気象被害_高温障害","036","(都道府県)_三重","ha","22700"
"001","被害面積","003","気象被害_高温障害","037","(都道府県)_滋賀","ha","12500"
"001","被害面積","003","気象被害_高温障害","038","(都道府県)_京都","ha","0"
"001","被害面積","003","気象被害_高温障害","039","(都道府県)_大阪","ha","900"
"001","被害面積","003","気象被害_高温障害","040","(都道府県)_兵庫","ha","7160"
"001","被害面積","003","気象被害_高温障害","041","(都道府県)_奈良","ha","260"
"001","被害面積","003","気象被害_高温障害","042","(都道府県)_和歌山","ha","2260"
"001","被害面積","003","気象被害_高温障害","043","(都道府県)_鳥取","ha","4070"
"001","被害面積","003","気象被害_高温障害","044","(都道府県)_島根","ha","11800"
"001","被害面積","003","気象被害_高温障害","045","(都道府県)_岡山","ha","7000"
"001","被害面積","003","気象被害_高温障害","046","(都道府県)_広島","ha","22700"
"001","被害面積","003","気象被害_高温障害","047","(都道府県)_山口","ha","6020"
"001","被害面積","003","気象被害_高温障害","048","(都道府県)_徳島","ha","11400"
"001","被害面積","003","気象被害_高温障害","049","(都道府県)_香川","ha","3750"
"001","被害面積","003","気象被害_高温障害","050","(都道府県)_愛媛","ha","6950"
"001","被害面積","003","気象被害_高温障害","051","(都道府県)_高知","ha","7850"
"001","被害面積","003","気象被害_高温障害","052","(都道府県)_福岡","ha","9280"
"001","被害面積","003","気象被害_高温障害","053","(都道府県)_佐賀","ha","4460"
"001","被害面積","003","気象被害_高温障害","054","(都道府県)_長崎","ha","787"
"001","被害面積","003","気象被害_高温障害","055","(都道府県)_熊本","ha","8270"
"001","被害面積","003","気象被害_高温障害","056","(都道府県)_大分","ha","6490"
"001","被害面積","003","気象被害_高温障害","057","(都道府県)_宮崎","ha","98"
"001","被害面積","003","気象被害_高温障害","058","(都道府県)_鹿児島","ha","4100"
"001","被害面積","003","気象被害_高温障害","059","(都道府県)_沖縄","ha","－"
"001","被害面積","003","気象被害_高温障害","060","関東農政局","ha","136300"
"001","被害面積","003","気象被害_高温障害","061","東海農政局","ha","37900"
"001","被害面積","003","気象被害_高温障害","062","中国四国農政局","ha","81500"
"001","被害面積","004","病害_いもち病","001","全国","ha","211300"
"001","被害面積","004","病害_いもち病","002","(全国農業地域)_北海道","ha","2170"
"001","被害面積","004","病害_いもち病","003","(全国農業地域)_都府県","ha","209100"
"001","被害面積","004","病害_いもち病","004","(全国農業地域)_東北","ha","49700"
