,date,降水量_香川
586,2021-08-09,0.0
587,2021-08-10,0.0
588,2021-08-11,11.220669848296406
589,2021-08-12,30.468887895995998
590,2021-08-13,39.75080514510294
591,2021-08-14,30.8623070828084
592,2021-08-15,0.0
593,2021-08-16,4.638012236271522
594,2021-08-17,26.26302953121624
595,2021-08-18,17.292334551556475
596,2021-08-19,36.20857616651319
597,2021-08-20,10.694029939721814
598,2021-08-21,2.6625553644896454
599,2021-08-22,0.07659063920479595
600,2021-08-23,3.1967977031538415
601,2021-08-24,14.906965135900126
602,2021-08-25,0.0
603,2021-08-26,2.4932315396222067
604,2021-08-27,0.0
605,2021-08-28,0.0
606,2021-08-29,0.0
607,2021-08-30,0.0
608,2021-08-31,0.0
609,2021-09-01,36.68923098561995
610,2021-09-02,23.946453899616042
611,2021-09-03,20.023354263391774
612,2021-09-04,10.219799224015373
613,2021-09-05,0.0
614,2021-09-06,0.0
615,2021-09-07,3.288924202872363
616,2021-09-08,0.0
617,2021-09-09,0.0
618,2021-09-10,0.0
619,2021-09-11,0.0
620,2021-09-12,0.0
621,2021-09-13,9.691745892245578
622,2021-09-14,27.769826430499418
623,2021-09-15,0.0
624,2021-09-16,0.0
625,2021-09-17,33.18711819300712
626,2021-09-18,0.0
627,2021-09-19,0.0
628,2021-09-20,0.0
629,2021-09-21,0.0
630,2021-09-22,0.0
631,2021-09-23,0.0
632,2021-09-24,0.0
633,2021-09-25,0.0
634,2021-09-26,0.0
635,2021-09-27,0.0
636,2021-09-28,0.0
637,2021-09-29,0.0
638,2021-09-30,3.5276716512517883
639,2021-10-01,0.0
640,2021-10-02,0.0
641,2021-10-03,0.0
642,2021-10-04,0.0
643,2021-10-05,0.0
644,2021-10-06,0.0
645,2021-10-07,0.0
646,2021-10-08,0.0
647,2021-10-09,0.0
648,2021-10-10,0.0
649,2021-10-11,11.337249871391027
650,2021-10-12,0.0
651,2021-10-13,0.0
652,2021-10-14,0.0
653,2021-10-15,0.0
654,2021-10-16,0.0
655,2021-10-17,0.0
656,2021-10-18,10.712829437715115
657,2021-10-19,0.0
658,2021-10-20,0.13066583293286188
659,2021-10-21,0.0
660,2021-10-22,0.0
661,2021-10-23,0.0
662,2021-10-24,8.89720690707859
663,2021-10-25,35.58882762831436
664,2021-10-26,0.0
665,2021-10-27,0.0
666,2021-10-28,0.0
667,2021-10-29,0.0
668,2021-10-30,0.0
669,2021-10-31,0.0
670,2021-11-01,0.0
671,2021-11-02,0.0
672,2021-11-03,0.0
673,2021-11-04,0.0
674,2021-11-05,0.0
675,2021-11-06,25.242172941576722
676,2021-11-07,4.724415648153978
677,2021-11-08,0.33246404591855294
678,2021-11-09,0.0
679,2021-11-10,0.0
680,2021-11-11,0.0
681,2021-11-12,5.489748498387047
682,2021-11-13,0.0
683,2021-11-14,0.0
684,2021-11-15,0.0
685,2021-11-16,0.8330972992988167
686,2021-11-17,0.0
687,2021-11-18,0.0
688,2021-11-19,0.0
689,2021-11-20,0.0
690,2021-11-21,5.402144471535206
691,2021-11-22,15.632336806676907
692,2021-11-23,0.0
693,2021-11-24,0.0
694,2021-11-25,0.0
695,2021-11-26,0.0
696,2021-11-27,0.0
697,2021-11-28,0.0
698,2021-11-29,0.0
699,2021-11-30,26.72315966087324
700,2021-12-01,0.0
701,2021-12-02,0.0
702,2021-12-03,0.0
703,2021-12-04,0.0
704,2021-12-05,0.0
705,2021-12-06,0.0
706,2021-12-07,0.0
707,2021-12-08,0.0
708,2021-12-09,0.0
709,2021-12-10,0.0
710,2021-12-11,0.0
711,2021-12-12,0.0
712,2021-12-13,0.0
713,2021-12-14,0.0
714,2021-12-15,0.0
715,2021-12-16,28.177302125883426
716,2021-12-17,0.0
717,2021-12-18,0.0
718,2021-12-19,0.0
719,2021-12-20,0.0
720,2021-12-21,0.0
721,2021-12-22,0.0
722,2021-12-23,0.0
723,2021-12-24,1.0715655128789001
724,2021-12-25,0.0
725,2021-12-26,0.0
726,2021-12-27,0.0
727,2021-12-28,0.0
728,2021-12-29,0.0
729,2021-12-30,0.0
730,2021-12-31,0.0
731,2022-01-01,0.0
732,2022-01-02,0.0
733,2022-01-03,0.0
734,2022-01-04,0.0
735,2022-01-05,0.40653031997163996
736,2022-01-06,0.0
737,2022-01-07,0.0
738,2022-01-08,0.0
739,2022-01-09,0.0
740,2022-01-10,0.6728914115911502
741,2022-01-11,10.487891108223689
742,2022-01-12,0.0
743,2022-01-13,0.0
744,2022-01-14,0.0
745,2022-01-15,0.0
746,2022-01-16,0.0
747,2022-01-17,0.0
748,2022-01-18,0.0
749,2022-01-19,0.0
750,2022-01-20,0.0
751,2022-01-21,0.0
752,2022-01-22,0.0
753,2022-01-23,5.268524363311813
754,2022-01-24,0.0
755,2022-01-25,0.0
756,2022-01-26,0.0
757,2022-01-27,0.0
758,2022-01-28,0.0
759,2022-01-29,0.0
760,2022-01-30,3.4384160300140723
761,2022-01-31,0.0
762,2022-02-01,0.0
763,2022-02-02,0.0
764,2022-02-03,1.5619547307894945
765,2022-02-04,2.601977880419063
766,2022-02-05,0.0
767,2022-02-06,0.0
